NUL,000,0x00,00000000,Null char
SOH,001,0x01,00000001,Start of Heading
STX,002,0x02,00000010,Start of Text
ETX,003,0x03,00000011,End of Text
EOT,004,0x04,00000100,End of Transmission
ENQ,005,0x05,00000101,Enquiry
ACK,006,0x06,00000110,Acknowledgment
BEL,007,0x07,00000111,Bell
BS,008,0x08,00001000,Back Space
HT,009,0x09,00001001,Horizontal Tab
LF,010,0x0A,00001010,Line Feed
VT,011,0x0B,00001011,Vertical Tab
FF,012,0x0C,00001100,Form Feed
CR,013,0x0D,00001101,Carriage Return
SO,014,0x0E,00001110,Shift Out / X-On
SI,015,0x0F,00001111,Shift In / X-Off
DLE,016,0x10,00010000,Data Line Escape
DC1,017,0x11,00010001,Device Control 1 (oft. XON)
DC2,018,0x12,00010010,Device Control 2
DC3,019,0x13,00010011,Device Control 3 (oft. XOFF)
DC4,020,0x14,00010100,Device Control 4
NAK,021,0x15,00010101,Negative Acknowledgement
SYN,022,0x16,00010110,Synchronous Idle
ETB,023,0x17,00010111,End of Transmit Block
CAN,024,0x18,00011000,Cancel
EM,025,0x19,00011001,End of Medium
SUB,026,0x1A,00011010,Substitute
ESC,027,0x1B,00011011,Escape
FS,028,0x1C,00011100,File Separator
GS,029,0x1D,00011101,Group Separator
RS,030,0x1E,00011110,Record Separator
US,031,0x1F,00011111,Unit Separator
 ,032,0x20,00100000,Space
!,033,0x21,00100001,Exclamation mark
\,034,0x22,00100010,Double quotes (or speech marks)
#,035,0x23,00100011,Hash
$,036,0x24,00100100,Dollar
%,037,0x25,00100101,Procenttecken
&,038,0x26,00100110,Ampersand
',039,0x27,00100111,Single quote
(,040,0x28,00101000,Open parenthesis (or open bracket)
),041,0x29,00101001,Close parenthesis (or close bracket)
*,042,0x2A,00101010,Asterisk
+,043,0x2B,00101011,Plus
",",044,0x2C,00101100,Comma
-,045,0x2D,00101101,Hyphen
.,046,0x2E,00101110,Period dot or full stop
/,047,0x2F,00101111,Slash or divide
0,048,0x30,00110000,Zero
1,049,0x31,00110001,One
2,050,0x32,00110010,Two
3,051,0x33,00110011,Three
4,052,0x34,00110100,Four
5,053,0x35,00110101,Five
6,054,0x36,00110110,Six
7,055,0x37,00110111,Seven
8,056,0x38,00111000,Eight
9,057,0x39,00111001,Nine
:,058,0x3A,00111010,Colon
