DATE,PRICE
01/01/2016,36.40
04/01/2016,36.28
05/01/2016,35.56
06/01/2016,33.89
07/01/2016,33.57
08/01/2016,31.67
11/01/2016,30.14
12/01/2016,29.14
13/01/2016,28.58
14/01/2016,28.84
15/01/2016,28.8
18/01/2016,27.36
19/01/2016,27.36
20/01/2016,26.01
21/01/2016,27.59
22/01/2016,30.46
25/01/2016,29.82
26/01/2016,30.94
27/01/2016,31.83
28/01/2016,33.01
29/01/2016,33.14
01/02/2016,32.45
02/02/2016,30.98
03/02/2016,32.38
04/02/2016,32.76
05/02/2016,32.35
08/02/2016,31.64
09/02/2016,30.15
10/02/2016,29.64
11/02/2016,28.82
12/02/2016,31.8
15/02/2016,31.5
16/02/2016,31.09
17/02/2016,33.21
18/02/2016,33.2
19/02/2016,31.66
22/02/2016,33.59
23/02/2016,31.9
24/02/2016,31.5
25/02/2016,32.83
26/02/2016,35.76
29/02/2016,35.92
01/03/2016,35.73
02/03/2016,36.38
03/03/2016,35.75
04/03/2016,37.61
07/03/2016,39.02
08/03/2016,39.16
09/03/2016,40.26
10/03/2016,38.63
11/03/2016,39.41
14/03/2016,38.06
15/03/2016,37.49
16/03/2016,38.38
17/03/2016,39.29
18/03/2016,39.26
21/03/2016,39.91
22/03/2016,40.54
23/03/2016,38.84
24/03/2016,38.33
25/03/2016,38.33
28/03/2016,38.33
29/03/2016,36.75
30/03/2016,36.75
31/03/2016,36.75
01/04/2016,36.42
04/04/2016,36.05
05/04/2016,35.88
06/04/2016,37.77
07/04/2016,37.15
08/04/2016,40.71
11/04/2016,41.58
12/04/2016,43.02
13/04/2016,42.81
14/04/2016,43.02
15/04/2016,41.32
18/04/2016,41.64
19/04/2016,43.02
20/04/2016,43.09
21/04/2016,43.48
22/04/2016,43.97
25/04/2016,42.97
26/04/2016,43.94
27/04/2016,44.17
28/04/2016,45.6
29/04/2016,45.64
02/05/2016,45.82
03/05/2016,43.09
04/05/2016,43.08
05/05/2016,44.39
06/05/2016,44.6
09/05/2016,42.43
10/05/2016,44.01
11/05/2016,46.08
12/05/2016,46.43
13/05/2016,47.05
16/05/2016,48.49
17/05/2016,48.71
18/05/2016,48.93
19/05/2016,47.01
20/05/2016,48.54
23/05/2016,47.77
24/05/2016,48.42
25/05/2016,48.87
26/05/2016,49.52
27/05/2016,49.09
30/05/2016,49.15
31/05/2016,49.26
01/06/2016,48.81
02/06/2016,49.05
03/06/2016,48.5
06/06/2016,48.94
07/06/2016,49.76
08/06/2016,50.73
09/06/2016,50.59
10/06/2016,49.7
13/06/2016,49.36
14/06/2016,47.88
15/06/2016,47.47
16/06/2016,45.66
17/06/2016,46.57
20/06/2016,48.68
21/06/2016,48.18
22/06/2016,48.43
23/06/2016,48.63
24/06/2016,46.69
27/06/2016,45.07
28/06/2016,46.29
29/06/2016,48.4
30/06/2016,48.05
01/07/2016,47.65
04/07/2016,48.02
05/07/2016,45.64
06/07/2016,45.7
07/07/2016,45.93
08/07/2016,44.53
11/07/2016,44.04
12/07/2016,46.72
13/07/2016,44.67
14/07/2016,46.01
15/07/2016,46.25
18/07/2016,45.35
19/07/2016,45.7
20/07/2016,45.82
21/07/2016,44.99
22/07/2016,44.24
25/07/2016,43.76
26/07/2016,43.56
27/07/2016,42.78
28/07/2016,41.87
29/07/2016,40.76
01/08/2016,40.17
02/08/2016,40
